Agent,Period,Job,PP,h_cum,h,c,w
1,1,6,0,13666.666666666666,2166.666666666666,11667.80865612545,37610.7015912812
1,2,0,0,15833.333333333332,2166.666666666666,18478.854547656087,46082.893729093084
1,3,7,0,18000.0,2166.666666666668,7984.6988217629805,30181.56246208277
1,4,0,0,20166.666666666664,2166.6666666666642,22402.591377522658,49367.6231410623
1,5,3,0,22333.333333333332,2166.666666666668,17378.062608751392,41169.99181366026
1,6,1,0,24500.0,2166.666666666668,21753.101940879453,46211.18879738394
1,7,7,0,26666.666666666664,2166.6666666666642,13638.980334925443,33662.01826268222
1,8,7,0,28833.333333333332,2166.666666666668,13296.114686442535,32058.278653996134
1,9,0,0,31000.0,2166.666666666668,30763.19354300551,55538.96792565644
1,10,3,0,33166.666666666664,2166.6666666666642,24674.06963597893,45841.90682606369
1,11,4,1,35333.33333333333,2166.6666666666642,26084.345456587675,46707.380554126496
1,12,0,0,37500.0,2166.6666666666715,35206.476878353336,58434.622734522905
1,13,1,1,39666.666666666664,2166.6666666666642,34544.7127906252,56381.73039450542
1,14,4,0,41833.33333333333,2166.6666666666642,27585.97203030737,45459.85682548855
1,15,0,0,44000.0,2166.6666666666715,59277.589017913546,60954.350729455706
1,16,0,0,46166.666666666664,2166.6666666666642,56864.387700262094,57555.47563417196
1,17,0,1,48333.33333333333,2166.6666666666642,60144.829223982364,62175.81580842587
1,18,0,1,50500.0,2166.6666666666715,60612.959460598424,62835.15416985694
1,19,6,1,52666.666666666664,2166.6666666666642,57186.49126469419,58009.14262632985
1,20,4,1,54833.33333333333,2166.6666666666642,52883.802001557444,51949.01690360204
1,21,0,0,57000.0,2166.6666666666715,62306.67546850249,65220.66967394717
1,22,0,1,59166.666666666664,2166.6666666666642,62337.80937084664,65264.52024062908
1,23,6,1,61333.33333333333,2166.6666666666642,58714.51819349949,60161.29323028097
1,24,3,1,63499.99999999999,2166.6666666666642,56968.802039083224,57702.53808321581
1,25,0,0,65666.66666666666,2166.6666666666642,64036.99942707986,67657.74567194347
1,26,7,0,67833.33333333333,2166.6666666666715,46580.4042218649,43070.99186178155
1,27,0,0,70000.0,2166.6666666666715,64836.35367879697,68783.59673069997
1,28,4,0,72166.66666666666,2166.666666666657,53200.98983574342,52395.760332032994
1,29,0,1,74333.33333333333,2166.6666666666715,68468.9440592395,73899.92121019648
1,30,3,0,76500.0,2166.6666666666715,56502.002996712254,57045.0746432567
1,31,0,1,78666.66666666666,2166.666666666657,69177.39094138956,74897.73372026699
1,32,0,1,80833.33333333333,2166.6666666666715,65901.79340457421,70284.21606278059
1,33,6,0,83000.0,2166.6666666666715,59480.341409554516,61239.9174782458
1,34,4,1,85166.66666666666,2166.666666666657,56951.55542581314,57678.24707861005
1,35,0,0,87333.33333333333,2166.6666666666715,67695.15633138303,72810.0793399761
1,36,6,1,89500.0,2166.6666666666715,62716.38047421474,65797.71897776725
1,37,0,0,91666.66666666666,2166.666666666657,68340.54005311838,73719.07049734984
1,38,1,1,93833.33333333333,2166.6666666666715,65167.50704421962,69250.0099214361
1,39,6,0,96000.0,2166.6666666666715,61132.003130003715,63566.201591554534
1,40,6,1,98166.66666666666,2166.666666666657,60516.34999717529,62699.084503063794
2,1,1,0,18000.0,2166.666666666668,15866.494556988928,42403.51346054779
2,2,3,1,20166.666666666664,2166.6666666666642,17458.43999571308,43524.859890181506
2,3,0,0,22333.333333333332,2166.666666666668,23412.845044037545,50790.51562911143
2,4,0,1,24500.0,2166.666666666668,25501.92606424301,52612.05301857802
2,5,0,0,26666.666666666664,2166.6666666666642,24243.04755942583,49718.154457308425
2,6,0,1,28833.333333333332,2166.666666666668,28648.576398580815,54802.294408675705
2,7,4,0,31000.0,2166.666666666668,20337.305614669232,41975.44897544219
2,8,0,0,33166.666666666664,2166.6666666666642,31483.976137095662,56554.15467789609
2,9,0,0,35333.33333333333,2166.6666666666642,30202.838781605344,53628.90562272062
2,10,1,0,37500.0,2166.6666666666715,29719.17665488272,51826.861115105436
2,11,1,1,39666.666666666664,2166.6666666666642,31042.578389404618,52569.9769754402
2,12,6,1,41833.33333333333,2166.6666666666642,33475.18620858711,54875.35492684615
2,13,3,0,44000.0,2166.6666666666715,30389.605545703642,49408.63642463822
2,14,6,1,46166.666666666664,2166.6666666666642,55901.74547270435,56199.6415108512
2,15,8,0,48333.33333333333,2166.6666666666642,39861.73352705798,33608.075390222504
2,16,0,1,50500.0,2166.6666666666715,63847.76401145453,67391.21691754159
2,17,4,1,52666.666666666664,2166.6666666666642,52529.14081932993,51449.494111732296
2,18,1,1,54833.33333333333,2166.6666666666642,59283.54261233716,60962.73607371431
2,19,6,0,57000.0,2166.6666666666715,55459.945888158414,55577.38857487101
2,20,6,1,59166.666666666664,2166.6666666666642,55486.476449667265,55614.75556291165
2,21,0,1,61333.33333333333,2166.6666666666642,66125.95144924911,70599.93161866073
2,22,6,0,63499.99999999999,2166.6666666666642,56580.69358865702,57155.90646289722
2,23,0,0,65666.66666666666,2166.6666666666642,64036.99942707986,67657.74567194347
2,24,5,1,67833.33333333333,2166.6666666666715,51820.21806939782,50451.01136534905
2,25,1,1,70000.0,2166.6666666666715,61877.683842865685,64616.45611671223
2,26,6,0,72166.66666666666,2166.666666666657,57943.998915437034,59076.0548104747
2,27,6,0,74333.33333333333,2166.6666666666715,55407.49882075191,55503.51946584776
2,28,3,0,76500.0,2166.6666666666715,56502.002996712254,57045.0746432567
2,29,3,1,78666.66666666666,2166.666666666657,56190.607486537156,56606.48941765797
2,30,0,0,80833.33333333333,2166.6666666666715,66679.24398861048,71379.21688536687
2,31,0,1,83000.0,2166.6666666666715,66214.61000514595,70724.80282414924
2,32,1,1,85166.66666666666,2166.666666666657,64057.09547621536,67686.04996650052
2,33,6,1,87333.33333333333,2166.6666666666715,62447.22775560723,65418.63064170033
2,34,1,1,89500.0,2166.6666666666715,64622.91212883366,68482.97482934319
2,35,3,0,91666.66666666666,2166.666666666657,58426.41719262938,59755.51717271744
2,36,0,0,93833.33333333333,2166.6666666666715,68654.4766286216,74161.23468819943
2,37,0,0,96000.0,2166.6666666666715,65382.277196953124,69552.50309430018
2,38,1,1,98166.66666666666,2166.666666666657,96589.4464177519,85485.5064445727
