age,pp,llabinc,lcumul_hours,lhours,share_hours
25,0,9.936821,7.465807,7.450915,.3412651
25,1,10.25702,7.597398,7.574823,.3700984
25,,,6.638202,6.61842,.2046005
26,0,9.99397,7.952834,7.451117,.3408766
26,1,10.31173,8.117905,7.581366,.3733677
26,,,7.182274,6.613378,.2019009
27,0,10.04264,8.356317,7.470558,.3471393
27,1,10.32666,8.523466,7.583651,.3752835
27,,,7.694861,6.665392,.2069051
28,0,10.10127,8.65802,7.498988,.3528204
28,1,10.37815,8.821822,7.588601,.3781562
28,,,8.031096,6.654276,.2061755
29,0,10.14406,8.868779,7.496619,.3556659
29,1,10.42593,9.065045,7.607885,.3812208
29,,,8.313868,6.664385,.2146121
30,0,10.19168,9.075612,7.515288,.3594286
30,1,10.41691,9.216232,7.606491,.3830665
30,,,8.48908,6.726337,.2218271
31,0,10.20286,9.213334,7.503268,.3566433
31,1,10.47931,9.360785,7.617132,.3889281
31,,,8.683151,6.73817,.2240929
32,0,10.20646,9.343057,7.507532,.3592052
32,1,10.47245,9.47081,7.595326,.3806274
32,,,8.793483,6.722244,.2219554
33,0,10.22366,9.431543,7.511863,.3598652
33,1,10.51999,9.604566,7.6152,.3873966
33,,,8.891567,6.715088,.2257166
34,0,10.2399,9.523243,7.516883,.3597755
34,1,10.52725,9.67802,7.624769,.3926156
34,,,9.082981,6.852944,.240725
35,0,10.25773,9.580824,7.504558,.3591446
35,1,10.61044,9.746462,7.632886,.3924454
35,,,9.095775,6.816025,.2269387
36,0,10.24378,9.636453,7.512232,.359254
36,1,10.64723,9.794434,7.638338,.3972912
36,,,9.173705,6.786285,.2259135
37,0,10.26643,9.65529,7.513675,.3607222
37,1,10.63671,9.830211,7.649792,.3942435
37,,,9.143728,6.832539,.2380305
38,0,10.23203,9.664466,7.489217,.3574402
38,1,10.66172,9.859857,7.624726,.3879043
38,,,9.431686,7.000665,.2530445
39,0,10.23901,9.715626,7.49249,.3568287
39,1,10.72953,9.877419,7.614636,.3869183
39,,,9.353045,7.016603,.2537459
40,0,10.27496,9.747552,7.492936,.3559562
40,1,10.75072,9.899648,7.623556,.3865235
40,,,9.514762,7.091076,.263195
41,0,10.21469,9.752507,7.451394,.3507664
41,1,10.7047,9.957809,7.626128,.3891721
41,,,9.186094,7.192424,.2758856
42,0,10.30694,9.793154,7.461781,.3500464
42,1,10.71822,9.981866,7.619047,.3855918
42,,,9.654061,7.713092,.3925786
43,0,10.26711,9.820493,7.46308,.3518587
43,1,10.7579,10.00642,7.63247,.387488
43,,,9.665147,7.430939,.3612452
44,0,10.30604,9.895666,7.468494,.3519898
44,1,10.76267,10.02825,7.61932,.384688
44,,,9.804062,7.385565,.3718275
45,0,10.27927,9.891265,7.437973,.3474387
45,1,10.70522,10.1006,7.630682,.3877436
45,,,9.888169,7.420881,.3596738
46,0,10.31871,9.996166,7.450552,.3475141
46,1,10.75731,10.11631,7.623013,.3875176
46,,,10.13002,7.491227,.3569282
47,0,10.29339,9.981606,7.466328,.351004
47,1,10.77184,10.16513,7.617297,.3880934
47,,,10.03976,7.5719,.3829426
48,0,10.2958,10.0339,7.425989,.3438292
48,1,10.76566,10.19264,7.638091,.3903209
48,,,9.937657,7.525395,.3670726
49,0,10.32563,10.06885,7.460432,.3514922
49,1,10.75111,10.23592,7.62888,.3869642
49,,,10.21525,7.712251,.4173107
50,0,10.27551,10.09597,7.449529,.3489774
50,1,10.8394,10.26242,7.640949,.391255
50,,,10.02658,7.583689,.3644964
51,0,10.38378,10.16692,7.474769,.3549874
51,1,10.81873,10.27837,7.624249,.3875146
51,,,10.26127,7.587384,.3779547
52,0,10.33479,10.17087,7.449868,.3477774
52,1,10.76804,10.31998,7.626998,.3883158
52,,,10.2552,7.302263,.3179349
53,0,10.40154,10.23224,7.527088,.3627697
53,1,10.86873,10.39846,7.627441,.3897474
53,,,10.23587,7.19579,.3397237
54,0,10.3531,10.26767,7.475676,.3529517
54,1,10.82598,10.36035,7.648121,.3936447
54,,,10.28057,7.536066,.3870939
55,0,10.346,10.27726,7.479343,.3469869
55,1,10.82752,10.46717,7.653824,.3964235
55,,,10.28694,7.374904,.3130652
